word1,word2,score
dur,difficile,9.69
dur,facile,0.0
vite,rapide,9.85
court,long,0.0
stupide,idiot,9.08
bizarre,étrange,9.69
large,étroit,0.0
mal,terrible,9.46
facile,difficile,0.0
mal,terrible,9.46
dur,simple,0.0
content,fou,0.0
grand,énorme,9.69
dur,rude,9.15
rapide,rapide,10.0
stupide,insensé,8.92
étrange,bizarre,9.69
étroit,large,0.0
simple,facile,9.62
vieux,frais,0.0
apparent,évident,9.08
agréable,généreuse,7.31
bizarre,bizarre,10.0
triste,drôle,0.0
coupable,honteux,7.31
beau,formidable,7.15
grand,gros,10.0
agréable,cruel,0.0
gros,vaste,8.38
fort,fier,4.77
stupide,intelligent,0.0
facile,dur,0.0
facile,flexible,3.69
essentiel,nécessaire,9.85
dur,cruel,8.46
long,étroit,2.15
gros,lourd,4.62
mal,coupable,4.23
facile,gros,0.0
stupide,intelligent,0.0
triste,terrible,6.0
audacieux,fier,1.31
stupide,rare,0.0
grand,flexible,0.0
sale,étroit,0.0
femme,mari,0.85
livre,texte,2.54
nuit,journée,0.0
étudiant,élève,9.62
jambe,bras,0.15
actrice,acteur,3.08
argent,salaire,4.62
chien,chat,0.0
livre,récit,2.15
lit,chambre,2.15
maladie,infection,4.46
bras,épaule,3.46
mouton,agneau,8.23
bateau,ancre,2.92
rivière,courant,4.38
mer,océan,6.23
seconde,minute,2.69
main,pouce,3.31
façon,manière,6.23
décès,enterrement,4.85
rue,ruelle,4.15
voiture,corne,2.31
ami,client,3.85
porte,porte,10.0
clou,pouce,2.62
hiver,saison,4.0
chapeau,manteau,2.23
fenêtre,porte,1.54
verre,cristal,4.77
dîner,déjeuner,1.23
pain,farine,1.62
décès,tragédie,4.46
pistolet,canon,4.0
tour,cloche,1.0
père,parent,6.38
école,qualité,2.15
dictionnaire,définition,2.69
porte,cave,0.62
chaise,banc,4.77
eau,glace,3.85
lit,couverture,2.0
avocat,avocat,10.0
région,zone,9.15
main,pied,0.69
repas,dîner,6.69
œil,larme,1.31
boucle,ceinture,1.85
moteur,moteur,10.0
réalité,fantaisie,0.23
porte,porte,10.0
abondance,beaucoup,7.54
canapé,chaise,2.77
groupe,parade,0.54
estomac,taille,1.38
joie,fierté,3.46
pluie,brouillard,2.85
intelligence,logique,3.62
communication,langue,5.62
foule,foule,10.0
compétence,capacité,6.0
souper,repas,3.92
eau,sel,0.23
situation,condition,5.54
bras,corps,1.54
bateau,voiture,1.31
lit,hôpital,1.85
herbe,mousse,2.54
école,loi,1.62
pied,tête,1.08
bouche,dent,2.15
assiette,bol,2.08
cœur,chirurgie,1.15
mouton,bétail,1.38
bois,papier,1.15
douleur,nuire,3.92
amoureux,compagnon,3.62
père,fille,1.15
croyance,opinion,5.31
réalité,illusion,1.08
richesse,pauvreté,1.08
frère,fils,3.0
abeille,reine,1.92
rivière,vallée,2.46
docteur,professeur,3.77
bras,veine,2.31
chef,directeur,5.92
citron,thé,1.38
abeille,fourmi,1.54
lit,meubles,2.31
ruelle,bol,0.69
régime,salade,0.92
papa,mère,1.23
capitaine,marin,4.69
moteur,bateau,0.77
carte,pont,0.38
destruction,construction,0.31
pain,fromage,0.69
fête,cérémonie,6.46
richesse,prestige,3.46
danger,menace,7.15
langue,gorge,1.31
intelligence,compétence,3.92
frère,âme,0.38
décès,catastrophe,3.0
chant,récit,0.92
appartement,meubles,1.46
salade,vinaigre,1.23
père,frère,1.38
chambre,lit,2.15
fleur,buisson,3.77
bras,genou,1.15
bas,côté,0.69
navire,veine,3.08
chat,lapin,0.46
attention,intérêt,6.46
argument,accord,0.31
moyen,nouvelles,2.77
rayon,salle,6.38
toit,sol,0.31
porte,sol,0.31
épaule,tête,0.92
voiture,chariot,5.0
richesse,célébrité,3.77
chagrin,honte,4.77
communication,conversation,5.85
livre,information,2.31
population,gens,6.31
chef,maire,4.85
avocat,banquier,1.0
violon,instrument,5.38
oiseau,poule,5.46
charbon,charbon,10.0
rivière,mer,3.31
tâche,emploi,7.0
gens,fête,2.31
racine,herbe,2.69
argent,diamant,2.31
doigt,paume,1.46
voiture,pont,1.31
abri,cabane,4.85
porte,cuisine,1.23
bonheur,chance,3.23
bonheur,paix,3.92
logique,arithmétique,2.46
argument,critique,4.31
chimie,theorie,2.92
vision,perception,3.38
discussion,argument,6.38
danger,maladie,3.08
action,cours,1.23
fièvre,maladie,5.08
journal,information,3.08
cousin,oncle,2.46
auteur,lecteur,1.69
région,coin,3.38
mur,décoration,1.46
livre,essai,2.69
déjeuner,souper,3.23
livre,article,3.31
chambre,cellule,3.15
fille,enfant,5.0
lit,canapé,1.85
voiture,tuyau,0.69
étudiant,professeur,2.0
cheval,bœuf,1.08
gorge,nez,1.85
auteur,créateur,6.46
lit,chaise,1.46
pistolet,couteau,1.85
dîner,soupe,1.69
veau,taureau,4.0
neige,orage,2.0
clou,main,2.92
chien,cheval,1.0
bras,cou,1.23
bête,animal,5.31
dîner,poulet,1.46
nez,bouche,2.08
rue,voiture,1.62
croyance,impression,3.38
attention,conscience,5.92
beauté,âge,2.54
ami,mère,1.92
croyance,fleur,1.15
prison,choix,1.31
trou,accord,1.23
docteur,tempérer,1.38
tâche,femme,1.08
tâche,paille,0.85
nuit,chapitre,1.23
pistolet,tour,1.0
femme,paille,1.08
trou,femme,1.08
gens,cent,0.0
repas,taille,0.62
estomac,veine,0.77
gens,pistolet,0.08
cheville,fenêtre,0.0
estomac,chambre,0.0
bol,queue,0.08
aller,viens,1.15
multiplier,diviser,1.85
tuer,détruire,7.38
porter,apporter,4.77
atteindre,accomplir,8.38
recevoir,donner,1.54
emprunter,mendier,2.92
pense,décider,2.77
donner,prêter,3.08
décider,choisir,4.0
garder,posséder,4.08
laisser,aller,4.08
viens,assister,4.54
connaître,croyez,4.38
oublier,ignorer,4.31
multiplier,ajouter,2.54
arrivée,laisser,1.23
arrivée,viens,4.31
envoyer,recevoir,0.85
ajouter,diviser,1.69
acquérir,obtenir,9.46
participer,joindre,5.92
laisser,rester,1.77
oublier,apprendre,1.0
engager,marier,4.38
demander,prier,2.69
aller,envoyer,2.31
parler,entendre,0.38
aller,permettre,0.92
créer,construire,6.54
tuer,pendre,2.38
oublier,connaître,0.0
créer,imaginer,4.85
mériter,gagner,4.54
connaître,comprendre,6.92
surmonter,dominer,4.46
atteindre,essayer,1.85
échouer,décourager,2.77
commencer,quitter,0.0
dire,participer,1.62
venir,apporter,1.62
lire,comprendre,5.0
acquérir,obtenir,9.46
demander,plaider,6.08
atteindre,réussir,7.69
donner,mettre,3.77
développer,croître,6.77
emprunter,vendre,0.38
garder,protéger,3.31
rappeler,oublier,0.62
garder,emprunter,0.77
donner,emprunter,1.62
tuer,défendre,0.69
respirer,étrangler,0.77
oublier,conserver,1.08
vouloir,choisir,3.62
essayer,pense,2.23
laisser,ignorer,4.46
laisser,errer,2.54
garder,donner,1.38
donner,permettre,3.54
apporter,envoyer,1.08
acquérir,trouver,5.08
créer,détruire,0.62
commencer,aller,5.46
attacher,joindre,6.08
aller,vendre,2.08
donner,voler,1.31
ajouter,construire,2.85
représenter,décider,1.92
donner,connaître,0.77
emprunter,vouloir,2.0
rappeler,vendre,0.69
envoyer,assister,2.08
assister,arriver,5.31
