word1,word2,score
vecchio,nuovo,0.0
duro,difficile,9.69
felice,allegro,9.31
duro,facile,0.0
veloce,rapido,9.85
felice,contento,9.38
corto,lungo,0.0
bizzarro,strano,9.69
largo,stretto,0.0
brutto,orribile,9.38
facile,difficile,0.0
cattivo,terribile,9.46
duro,semplice,0.0
folle,pazzo,9.62
felice,arrabbiato,0.0
grande,gigante,9.69
duro,tosto,9.15
nuovo,fresco,8.62
acuto,ottuso,0.0
svelto,rapido,9.85
felice,arrabbiato,0.0
stretto,ampio,0.0
semplice,facile,9.62
vecchio,fresco,0.0
economico,conveniente,9.69
triste,buffo,0.0
meraviglioso,grande,9.54
colpevole,vergognoso,7.31
bello,meraviglioso,7.15
spazioso,grande,10.0
gentile,crudele,0.0
forte,orgoglioso,4.77
superfluo,necessario,0.0
inquieto,giovane,0.38
cattivo,ottimo,0.0
difficile,semplice,0.0
necessario,importante,9.08
onesto,colpevole,0.0
facile,duro,0.0
facile,flessibile,3.69
certo,sicuro,9.69
essenziale,necessario,9.85
furbo,capace,8.31
ruvido,crudele,8.46
scarso,raro,9.62
amichevole,generoso,4.54
lungo,stretto,2.15
grande,pesante,4.62
bizzarro,strano,9.69
cattivo,colpevole,4.23
moderno,antico,0.0
nuovo,antico,0.0
felice,giovane,0.08
facile,grande,0.0
grande,imponente,0.0
educato,corretto,7.92
modesto,vergognoso,1.92
delizioso,meraviglioso,9.23
formale,corretto,8.08
delizioso,allegro,8.46
infelice,arrabbiato,6.38
triste,terribile,6.0
malato,matto,2.38
violento,arrabbiato,5.92
carico,pesante,8.0
sporco,economico,0.77
duro,denso,5.31
recente,nuovo,8.46
fiero,orgoglioso,1.31
furbo,strano,0.38
strano,furbo,0.38
furbo,duro,0.0
modesto,flessibile,0.0
fresco,ampio,0.0
spazioso,flessibile,0.0
sporco,stretto,0.0
moglie,marito,0.85
libro,testo,2.54
sposo,sposa,0.85
notte,giorno,0.0
sud,nord,0.08
zio,zia,0.77
cavallo,cavalla,7.15
studente,alunno,9.62
mondo,globo,6.31
gamba,braccio,0.15
donna,uomo,0.0
attrice,attore,3.08
parola,dizionario,2.0
soldi,stipendio,4.62
cane,gatto,0.0
area,regione,9.0
marina,esercito,1.69
libro,letteratura,3.54
vestiti,armadio,1.15
libro,storia,2.15
inverno,estate,0.15
letto,camera,0.77
tetto,soffitto,4.54
malattia,infezione,4.46
braccio,spalla,3.46
pecora,agnello,8.23
signora,signore,1.69
prete,monaco,5.31
fiume,ruscello,4.38
rabbia,furia,7.92
data,calendario,4.23
mare,oceano,6.23
secondo,minuto,2.69
mano,pollice,3.31
legno,ceppo,4.54
fango,sporco,4.46
modo,maniera,6.23
topo,gatto,1.77
morte,sepoltura,4.85
musica,melodia,6.46
bocca,labbro,5.62
fiore,viola,5.0
carta,cartone,3.54
pavimento,soffitto,1.62
spiaggia,lido,6.46
bastone,tenda,2.31
