word1,word2,score
viejo,nuevo,0.0
difícil,difícil,10.0
feliz,alegre,9.31
difícil,fácil,0.0
rápido,rápido,10.0
feliz,contento,9.38
corto,largo,0.0
estúpido,tonto,9.08
raro,extraño,9.69
ancho,estrecho,0.0
malo,horrible,9.38
fácil,difícil,0.0
malo,terrible,9.46
difícil,sencillo,0.0
demente,loco,9.62
feliz,enojado,0.0
grande,enorme,9.69
difícil,difícil,10.0
nuevo,fresco,8.62
rápido,rápido,10.0
tonto,tonto,10.0
maravilloso,estupendo,9.54
extraño,raro,9.69
feliz,enojado,0.0
estrecho,ancho,0.0
sencillo,fácil,9.62
viejo,fresco,0.0
barato,barato,10.0
bonito,generoso,7.31
raro,raro,10.0
triste,divertido,0.0
maravilloso,estupendo,9.54
culpable,avergonzado,7.31
hermoso,maravilloso,7.15
confidente,seguro,9.38
tonto,denso,7.0
grande,grande,10.0
bonito,cruel,0.0
grande,ancho,8.38
fuerte,orgulloso,4.77
inquieto,joven,0.38
tonto,inteligente,0.0
malo,estupendo,0.0
difícil,sencillo,0.0
necesario,importante,9.08
malo,estupendo,0.0
enojado,alegre,0.0
honesto,culpable,0.0
fácil,difícil,0.0
cierto,seguro,9.69
esencial,necesario,9.85
áspero,cruel,8.46
escaso,raro,9.62
largo,estrecho,2.15
grande,pesado,4.62
extraño,extraño,10.0
malo,culpable,4.23
moderno,antiguo,0.0
nuevo,antiguo,0.0
aburrido,gracioso,0.0
feliz,joven,0.08
fácil,grande,0.0
estupendo,horrible,0.0
modesto,avergonzado,1.92
encantador,maravilloso,9.23
asustado,ansioso,6.92
triste,aburrido,6.92
encantador,alegre,8.46
infeliz,enojado,6.38
triste,terrible,6.0
enfermo,loco,2.38
violento,enojado,5.92
cargado,pesado,8.0
sucio,barato,0.77
difícil,denso,5.31
reciente,nuevo,8.46
osado,orgulloso,1.31
astuto,extraño,0.38
extraño,astuto,0.38
tonto,raro,0.0
astuto,difícil,0.0
estupendo,enojado,0.0
enorme,tonto,0.0
sucio,estrecho,0.0
esposa,marido,0.85
libro,texto,2.54
novio,novia,0.85
noche,día,0.0
sur,norte,0.08
caballo,yegua,7.15
amigo,compañero,9.54
mundo,globo,6.31
pierna,brazo,0.15
mujer,hombre,0.0
caballo,potro,7.69
actriz,actor,3.08
palabra,diccionario,2.0
dinero,salario,4.62
perro,gato,0.0
marina,ejército,1.69
libro,literatura,3.54
libro,historia,2.15
invierno,verano,0.15
tejado,techo,4.54
brazo,hombro,3.46
oveja,cordero,8.23
dama,caballero,1.69
ira,furia,7.92
mar,océano,6.23
segundo,minuto,2.69
madera,tronco,4.85
barro,tierra,4.46
modo,manera,6.23
muerte,entierro,4.85
música,melodía,6.46
boca,labio,5.62
flor,violeta,5.0
suelo,techo,1.62
playa,orilla,6.46
vara,cortina,2.31
barco,cubierta,2.23
mano,muñeca,2.77
victoria,triunfo,7.62
puerta,entrada,5.54
ropa,paño,3.69
banda,orquesta,5.62
negocio,industria,5.69
década,siglo,2.69
sombrero,abrigo,2.23
ventana,puerta,1.54
brazo,muñeca,2.46
vaso,cristal,4.77
pan,harina,1.62
